Date,Ticker
2025-03-10,95
2025-03-10,410
2025-03-10,659
2025-03-10,743
2025-03-10,1119
2025-03-10,1268
2025-03-10,1468
2025-03-10,1541
2025-03-10,1600
2025-03-10,1799
2025-03-10,1942
2025-03-10,2105
2025-03-10,2121
2025-03-10,2150
2025-03-10,2171
2025-03-10,2407
2025-03-10,2411
2025-03-10,2487
2025-03-10,2678
2025-03-10,3309
2025-03-10,3650
2025-03-10,3669
2025-03-10,6639
2025-03-10,6660
2025-03-10,6698
2025-03-10,9869
2025-03-10,9959
2025-03-10,9966
2024-09-09,120
2024-09-09,302
2024-09-09,520
2024-09-09,650
2024-09-09,697
2024-09-09,806
2024-09-09,813
2024-09-09,884
2024-09-09,933
2024-09-09,1176
2024-09-09,1238
2024-09-09,1244
2024-09-09,1521
2024-09-09,1563
2024-09-09,1668
2024-09-09,1765
2024-09-09,1890
2024-09-09,2138
2024-09-09,2160
2024-09-09,2257
2024-09-09,2415
2024-09-09,2416
2024-09-09,2511
2024-09-09,3377
2024-09-09,3383
2024-09-09,6100
2024-09-09,9668
2024-09-09,9669
2024-09-09,9857
2024-09-09,9877
2024-09-09,9886
2024-09-09,9955
2024-09-09,9996
2024-03-04,69
2024-03-04,215
2024-03-04,308
2024-03-04,493
2024-03-04,587
2024-03-04,658
2024-03-04,775
2024-03-04,873
2024-03-04,1137
2024-03-04,1167
2024-03-04,1250
2024-03-04,1405
2024-03-04,1755
2024-03-04,1813
2024-03-04,2137
2024-03-04,2279
2024-03-04,2356
2024-03-04,2500
2024-03-04,2616
2024-03-04,2799
2024-03-04,2923
2024-03-04,3877
2024-03-04,6610
2024-03-04,6929
2024-03-04,9930
2024-03-04,9939
2024-03-04,9985
2023-09-05,23
2023-09-05,185
2023-09-05,506
2023-09-05,732
2023-09-05,1121
2023-09-05,1234
2023-09-05,1381
2023-09-05,1382
2023-09-05,1725
2023-09-05,1873
2023-09-05,1966
2023-09-05,1996
2023-09-05,2019
2023-09-05,2197
2023-09-05,2772
2023-09-05,3913
2023-09-05,6169
2023-09-05,6968
2023-09-05,6988
2023-09-05,6989
2023-09-05,6993
2023-09-05,9909
2023-09-05,9983
2023-09-05,9990
2022-09-05,337
2022-09-05,832
2022-09-05,1098
2022-09-05,1212
2022-09-05,1773
2022-09-05,1981
2022-09-05,2048
2022-09-05,2126
2022-09-05,2142
2022-09-05,2342
2022-09-05,2798
2022-09-05,3813
2022-09-05,3818
2022-09-05,6601
2022-09-05,6998
2022-09-05,9968
2022-03-04,10
2022-03-04,69
2022-03-04,87
2022-03-04,1628
2022-03-04,1789
2022-03-04,1797
2022-03-04,9990
2021-09-03,173
2021-09-03,363
2021-09-03,552
2021-09-03,1083
2021-09-03,2768
2021-09-03,3301
2021-09-03,3377
2021-03-12,41
2021-03-12,119
2021-03-12,142
2021-03-12,272
2021-03-12,341
2021-03-12,460
2021-03-12,467
2021-03-12,581
2021-03-12,590
2021-03-12,694
2021-03-12,1212
2021-03-12,1333
2021-03-12,1788
2021-03-12,1958
2021-03-12,9668